"","x"
"1",0
"2",2
"3",2
"4",1
"5",1
"6",1
"7",1
"8",3
"9",1
"10",1
"11",1
"12",2
"13",1
"14",0
"15",2
"16",4
"17",4
"18",4
"19",3
"20",1
"21",4
"22",1
"23",1
"24",2
"25",4
"26",1
"27",3
"28",2
"29",3
"30",2
"31",3
"32",0
"33",4
"34",1
"35",4
"36",1
"37",3
"38",4
"39",1
"40",4
"41",1
"42",4
"43",4
"44",2
"45",4
"46",0
"47",1
"48",0
"49",4
"50",0
"51",2
"52",0
"53",2
"54",3
"55",2
"56",1
"57",2
"58",4
"59",2
"60",1
"61",3
"62",2
"63",2
"64",2
"65",4
"66",3
"67",2
"68",4
"69",4
"70",4
"71",0
"72",1
"73",0
"74",2
"75",0
"76",0
"77",3
"78",0
"79",0
"80",4
"81",1
"82",0
"83",2
"84",0
"85",0
"86",4
"87",2
"88",3
"89",1
"90",0
"91",3
"92",0
"93",2
"94",3
"95",3
"96",1
"97",2
"98",2
"99",0
"100",2
"101",0
"102",4
"103",1
"104",2
"105",3
"106",1
"107",0
"108",3
"109",4
"110",1
"111",4
"112",1
"113",2
"114",3
"115",0
"116",3
"117",2
"118",1
"119",3
"120",2
"121",0
"122",2
"123",1
"124",1
"125",4
"126",2
"127",1
"128",0
"129",4
"130",3
"131",0
"132",2
"133",1
"134",4
"135",2
"136",2
"137",4
"138",0
"139",1
"140",2
"141",2
"142",3
"143",2
"144",4
"145",1
"146",1
"147",0
"148",2
"149",1
"150",4
"151",1
"152",0
"153",2
"154",0
"155",0
"156",0
"157",2
"158",2
"159",4
"160",0
"161",0
"162",1
"163",4
"164",3
"165",0
"166",2
"167",0
"168",0
"169",4
"170",3
"171",3
"172",4
"173",2
"174",1
"175",3
"176",3
"177",2
"178",0
"179",2
"180",1
"181",1
"182",1
"183",2
"184",3
"185",3
"186",4
"187",2
"188",0
"189",4
"190",3
"191",0
"192",0
"193",1
"194",2
"195",2
"196",0
"197",1
"198",2
"199",4
"200",0
"201",2
"202",0
"203",2
"204",3
"205",0
"206",2
"207",2
"208",1
"209",1
"210",1
"211",3
"212",4
"213",2
"214",3
"215",1
"216",0
"217",0
"218",3
"219",2
"220",2
"221",2
"222",1
"223",3
"224",0
"225",4
"226",0
"227",4
"228",2
"229",4
"230",1
"231",3
"232",1
"233",0
"234",3
"235",4
"236",4
"237",0
"238",2
"239",2
"240",2
"241",3
"242",0
"243",1
"244",4
"245",1
"246",3
"247",0
"248",4
"249",1
"250",2
"251",4
"252",2
"253",1
"254",4
"255",2
"256",3
"257",3
"258",3
"259",3
"260",0
"261",4
"262",1
"263",4
"264",0
"265",3
"266",0
"267",1
"268",4
"269",2
"270",1
"271",3
"272",0
"273",2
"274",4
"275",2
"276",2
"277",1
"278",3
"279",2
"280",4
"281",4
"282",1
"283",2
"284",1
"285",2
"286",1
"287",1
"288",2
"289",0
"290",1
"291",4
"292",3
"293",4
"294",3
"295",2
"296",0
"297",1
"298",2
"299",3
"300",2
"301",3
"302",2
"303",3
"304",1
"305",1
"306",2
"307",1
"308",2
"309",3
"310",4
"311",3
"312",2
"313",2
"314",3
"315",0
"316",3
"317",4
"318",0
"319",2
"320",3
"321",3
"322",0
"323",0
"324",3
"325",1
"326",0
"327",3
"328",3
"329",3
"330",4
"331",0
"332",3
"333",1
"334",3
"335",3
"336",2
"337",3
"338",1
"339",4
"340",2
"341",1
"342",1
"343",3
"344",3
"345",2
"346",2
"347",2
"348",3
"349",3
"350",1
"351",4
"352",3
"353",1
"354",1
"355",0
"356",4
"357",1
"358",3
"359",4
"360",2
"361",3
"362",2
"363",3
"364",0
"365",0
"366",3
"367",2
"368",1
"369",1
"370",0
"371",3
"372",1
"373",4
"374",4
"375",1
"376",0
"377",3
"378",1
"379",2
"380",4
"381",2
"382",2
"383",4
"384",3
"385",0
"386",1
"387",3
"388",4
"389",0
"390",1
"391",0
"392",0
"393",4
"394",0
"395",1
"396",1
"397",4
"398",1
"399",3
"400",4
"401",3
"402",1
"403",0
"404",1
"405",3
"406",1
"407",1
"408",4
"409",4
"410",1
"411",4
"412",2
"413",2
"414",2
"415",3
"416",3
"417",3
"418",3
"419",1
"420",2
"421",0
"422",3
"423",2
"424",2
"425",3
"426",2
"427",2
"428",0
"429",3
"430",3
"431",2
"432",4
"433",1
"434",3
"435",1
"436",2
"437",4
"438",2
"439",0
"440",3
"441",3
"442",4
"443",1
"444",4
"445",3
"446",0
"447",4
"448",4
"449",1
"450",0
"451",2
"452",2
"453",1
"454",2
"455",1
"456",4
"457",4
"458",2
"459",1
"460",2
"461",4
"462",1
"463",3
"464",4
"465",2
"466",4
"467",2
"468",3
"469",4
"470",3
"471",1
"472",2
"473",2
"474",1
"475",1
"476",1
"477",2
"478",1
"479",2
"480",1
"481",3
"482",3
"483",1
"484",1
"485",4
"486",1
"487",0
"488",0
"489",3
"490",3
"491",3
"492",4
"493",3
"494",1
"495",1
"496",1
"497",0
"498",1
"499",0
"500",4
"501",4
"502",1
"503",1
"504",2
"505",3
"506",3
"507",0
"508",2
"509",1
"510",4
"511",0
"512",1
"513",2
"514",4
"515",1
"516",4
"517",0
"518",0
"519",3
"520",3
"521",1
"522",3
"523",0
"524",0
"525",4
"526",0
"527",3
"528",1
"529",4
"530",0
"531",3
"532",1
"533",1
"534",2
"535",0
"536",1
"537",3
"538",3
"539",1
"540",1
"541",1
"542",1
"543",0
"544",1
"545",0
"546",0
"547",3
"548",0
"549",0
"550",3
"551",1
"552",3
"553",0
"554",0
"555",1
"556",4
"557",3
"558",3
"559",3
"560",1
"561",1
"562",4
"563",1
"564",2
"565",1
"566",3
"567",2
"568",1
"569",1
"570",0
"571",1
"572",2
"573",3
"574",1
"575",1
"576",2
"577",2
"578",0
"579",4
"580",0
"581",3
"582",3
"583",2
"584",2
"585",0
"586",2
"587",1
"588",1
"589",0
"590",3
"591",2
"592",4
"593",1
"594",3
"595",1
"596",0
"597",4
"598",0
"599",0
"600",3
"601",1
"602",3
"603",0
"604",0
"605",0
"606",0
"607",0
"608",3
"609",4
"610",2
"611",3
"612",4
"613",4
"614",2
"615",0
"616",0
"617",0
"618",2
"619",2
"620",2
"621",4
"622",0
"623",4
"624",0
"625",0
"626",2
"627",2
"628",2
"629",4
"630",2
"631",1
"632",4
"633",4
"634",3
"635",0
"636",0
"637",3
"638",3
"639",4
"640",2
"641",4
"642",4
"643",4
"644",0
"645",3
"646",2
"647",2
"648",2
"649",0
"650",4
"651",1
"652",4
"653",1
"654",0
"655",2
"656",4
"657",0
"658",0
"659",0
"660",0
"661",1
"662",2
"663",0
"664",1
"665",3
"666",0
"667",3
"668",4
"669",1
"670",4
"671",3
"672",0
"673",2
"674",4
"675",0
"676",1
"677",2
"678",0
"679",0
"680",4
"681",2
"682",3
"683",4
"684",0
"685",0
"686",2
"687",3
"688",3
"689",1
"690",3
"691",2
"692",3
"693",1
"694",0
"695",1
"696",2
"697",0
"698",3
"699",2
"700",0
"701",0
"702",2
"703",0
"704",3
"705",3
"706",1
"707",2
"708",0
"709",4
"710",2
"711",3
"712",0
"713",1
"714",3
"715",2
"716",3
"717",4
"718",2
"719",2
"720",1
"721",1
"722",3
"723",1
"724",1
"725",1
"726",0
"727",4
"728",4
"729",3
"730",3
"731",1
"732",1
"733",0
"734",0
"735",3
"736",3
"737",4
"738",0
"739",0
"740",3
"741",4
"742",2
"743",0
"744",4
"745",0
"746",4
"747",3
"748",2
"749",2
"750",3
"751",0
"752",4
"753",0
"754",1
"755",4
"756",2
"757",3
"758",1
"759",3
"760",4
"761",1
"762",0
"763",2
"764",0
"765",3
"766",4
"767",3
"768",1
"769",1
"770",1
"771",1
"772",1
"773",3
"774",0
"775",3
"776",1
"777",3
"778",1
"779",0
"780",4
"781",3
"782",1
"783",2
"784",4
"785",3
"786",4
"787",2
"788",0
"789",4
"790",0
"791",2
"792",4
"793",3
"794",0
"795",3
"796",4
"797",2
"798",0
"799",4
"800",1
"801",3
"802",3
"803",2
"804",3
"805",1
"806",1
"807",2
"808",2
"809",4
"810",2
"811",3
"812",3
"813",1
"814",0
"815",0
"816",1
"817",4
"818",1
"819",3
"820",2
"821",2
"822",0
"823",4
"824",1
"825",0
"826",4
"827",3
"828",0
"829",1
"830",1
"831",4
"832",4
"833",4
"834",4
"835",3
"836",1
"837",3
"838",3
"839",3
"840",4
"841",3
"842",2
"843",3
"844",1
"845",1
"846",2
"847",2
"848",3
"849",3
"850",0
"851",2
"852",0
"853",3
"854",2
"855",0
"856",0
"857",4
"858",3
"859",2
"860",2
"861",1
"862",3
"863",3
"864",3
"865",0
"866",4
"867",0
"868",4
"869",1
"870",0
"871",1
"872",4
"873",2
"874",4
"875",0
"876",3
"877",1
"878",1
"879",1
"880",0
"881",4
"882",1
"883",2
"884",0
"885",0
"886",4
"887",1
"888",4
"889",0
"890",3
"891",2
"892",1
"893",0
"894",0
"895",2
"896",3
"897",1
"898",1
"899",4
"900",4
"901",1
"902",4
"903",4
"904",4
"905",0
"906",2
"907",3
"908",2
"909",1
"910",2
"911",1
"912",3
"913",0
"914",3
"915",0
"916",3
"917",1
"918",2
"919",4
"920",4
"921",3
"922",0
"923",0
"924",3
"925",3
"926",1
"927",2
"928",1
"929",1
"930",0
"931",2
"932",2
"933",4
"934",1
"935",4
"936",1
"937",1
"938",2
"939",2
"940",3
"941",3
"942",3
"943",1
"944",2
"945",0
"946",1
"947",1
"948",0
"949",2
"950",2
"951",2
"952",3
"953",4
"954",0
"955",3
"956",1
"957",1
"958",2
"959",4
"960",1
"961",4
"962",3
"963",2
"964",3
"965",2
"966",1
"967",0
"968",4
"969",3
"970",4
"971",2
"972",4
"973",2
"974",2
"975",4
"976",1
"977",4
"978",3
"979",0
"980",4
"981",2
"982",0
"983",3
"984",4
"985",0
"986",1
"987",3
"988",0
"989",2
"990",2
"991",3
"992",1
"993",2
"994",2
"995",2
"996",4
"997",0
"998",4
"999",2
"1000",3
"1001",1
"1002",3
"1003",0
"1004",0
"1005",3
"1006",3
"1007",3
"1008",1
"1009",0
"1010",2
"1011",1
"1012",3
"1013",2
"1014",3
"1015",2
"1016",1
"1017",2
"1018",4
"1019",0
"1020",1
"1021",3
"1022",0
"1023",0
"1024",0
"1025",3
"1026",0
"1027",1
"1028",0
"1029",0
"1030",1
"1031",0
"1032",4
"1033",1
"1034",1
"1035",4
"1036",0
"1037",3
"1038",1
"1039",0
"1040",0
"1041",4
"1042",1
"1043",0
"1044",0
"1045",2
"1046",2
"1047",2
"1048",1
"1049",3
"1050",3
"1051",0
"1052",2
"1053",4
"1054",2
"1055",1
"1056",2
"1057",0
"1058",4
"1059",3
"1060",2
"1061",1
"1062",0
"1063",1
"1064",2
"1065",2
"1066",1
"1067",4
"1068",1
"1069",0
"1070",1
"1071",1
"1072",3
"1073",3
"1074",4
"1075",2
"1076",2
"1077",1
"1078",1
"1079",0
"1080",2
"1081",2
"1082",4
"1083",4
"1084",0
"1085",0
"1086",1
"1087",1
"1088",4
"1089",3
"1090",2
"1091",3
"1092",1
"1093",1
"1094",1
"1095",2
"1096",3
"1097",0
"1098",1
"1099",3
"1100",3
"1101",3
"1102",1
"1103",2
"1104",0
"1105",1
"1106",1
"1107",2
"1108",4
"1109",2
"1110",0
"1111",1
"1112",1
"1113",1
"1114",3
"1115",4
"1116",2
"1117",3
"1118",1
"1119",1
"1120",2
"1121",2
"1122",3
"1123",3
"1124",1
"1125",2
"1126",4
"1127",0
"1128",0
"1129",2
"1130",4
"1131",1
"1132",4
"1133",1
"1134",3
"1135",1
"1136",4
"1137",4
"1138",0
"1139",1
"1140",2
"1141",1
"1142",3
"1143",2
"1144",3
"1145",3
"1146",0
"1147",3
"1148",4
"1149",1
"1150",3
"1151",4
"1152",2
"1153",1
"1154",1
"1155",3
"1156",4
"1157",2
"1158",0
"1159",4
"1160",4
"1161",2
"1162",4
"1163",1
"1164",2
"1165",3
"1166",0
"1167",1
"1168",1
"1169",3
"1170",4
"1171",0
"1172",4
"1173",3
"1174",0
"1175",3
"1176",4
"1177",4
"1178",1
"1179",0
"1180",1
"1181",3
"1182",1
"1183",2
"1184",0
"1185",3
"1186",1
"1187",3
"1188",1
"1189",3
"1190",0
"1191",4
"1192",1
"1193",1
"1194",0
"1195",1
"1196",1
"1197",3
"1198",3
"1199",0
"1200",3
"1201",0
"1202",0
"1203",4
"1204",1
"1205",3
"1206",3
"1207",0
"1208",0
"1209",4
"1210",2
"1211",1
"1212",2
"1213",1
"1214",1
"1215",1
"1216",3
"1217",0
"1218",2
"1219",1
"1220",1
"1221",1
"1222",2
"1223",3
"1224",1
"1225",1
"1226",2
"1227",3
"1228",0
"1229",3
"1230",1
"1231",0
"1232",1
"1233",3
"1234",2
"1235",3
"1236",0
"1237",3
"1238",0
"1239",4
"1240",0
"1241",4
"1242",4
"1243",0
"1244",1
"1245",1
"1246",3
"1247",0
"1248",1
"1249",3
"1250",4
"1251",3
"1252",4
"1253",0
"1254",4
"1255",1
"1256",2
"1257",3
"1258",1
"1259",0
"1260",1
"1261",3
"1262",1
"1263",4
"1264",3
"1265",4
"1266",0
"1267",4
"1268",1
"1269",4
"1270",0
"1271",2
"1272",0
"1273",3
"1274",1
"1275",3
"1276",1
"1277",2
"1278",1
"1279",1
"1280",0
"1281",4
"1282",1
"1283",0
"1284",0
"1285",2
"1286",1
"1287",0
"1288",1
"1289",3
"1290",0
"1291",4
"1292",1
"1293",1
"1294",3
"1295",0
"1296",0
"1297",2
"1298",3
"1299",1
"1300",2
"1301",1
"1302",3
"1303",1
"1304",2
"1305",4
"1306",1
"1307",4
"1308",1
"1309",2
"1310",4
"1311",3
"1312",1
"1313",0
"1314",1
"1315",4
"1316",2
"1317",1
"1318",4
"1319",3
"1320",3
"1321",1
"1322",3
"1323",1
"1324",4
"1325",2
"1326",1
"1327",4
"1328",0
"1329",2
"1330",3
"1331",4
"1332",0
"1333",1
"1334",0
"1335",4
"1336",1
"1337",4
"1338",3
"1339",0
"1340",1
"1341",2
"1342",4
"1343",2
"1344",2
"1345",4
"1346",1
"1347",3
"1348",0
"1349",4
"1350",4
"1351",3
"1352",2
"1353",4
"1354",4
"1355",0
"1356",2
"1357",0
"1358",1
"1359",2
"1360",2
"1361",0
"1362",4
"1363",2
"1364",3
"1365",0
"1366",4
"1367",1
"1368",0
"1369",3
"1370",0
"1371",4
"1372",2
"1373",3
"1374",2
"1375",0
"1376",0
"1377",3
"1378",2
"1379",4
"1380",3
"1381",1
"1382",3
"1383",2
"1384",1
"1385",3
"1386",1
"1387",2
"1388",3
"1389",4
"1390",3
"1391",0
"1392",2
"1393",4
"1394",2
"1395",1
"1396",2
"1397",1
"1398",3
"1399",0
"1400",4
"1401",0
"1402",4
"1403",3
"1404",2
"1405",0
"1406",0
"1407",1
"1408",3
"1409",4
"1410",1
"1411",2
"1412",0
"1413",3
"1414",1
"1415",3
"1416",1
"1417",3
"1418",4
"1419",4
"1420",4
"1421",4
"1422",0
"1423",2
"1424",1
"1425",2
"1426",1
"1427",4
"1428",0
"1429",4
"1430",3
"1431",3
"1432",2
"1433",3
"1434",1
"1435",4
"1436",4
"1437",4
"1438",1
"1439",1
"1440",1
"1441",4
"1442",0
"1443",0
"1444",4
